Tactic ,Technique,Procedure,Indicator,Notes
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,10 accounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,2 Pages,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,9 accounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,hxxps://x[.]com/Allo_Afrique,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,hxxps://x[.]com/dernierminute24,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,hxxps://t[.]me/AlloAfrique,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,hxxps://t[.]me/derniere_minute,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,hxxps://www[.]youtube[.]com/@All%C3%B4Afrique,
,,,,
1. Disguising assets,1.3 Posing as non-existent institution,1.3.1 Creating fictitious news outlet ,"The individuals behind this activity attempted to create two seemingly independent, grassroots media outlets.",
1. Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites,"The individuals behind this activity attempted to create two seemingly independent, grassroots media outlets, establishing a presence across multiple internet platforms including Telegram, TikTok, Facebook, Instagram, and X.",
,,,,
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 20,800 accounts followed one or more of these Pages.",
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers,"About 3,100 accounts followed one or more of these Instagram accounts.",
7. Targeted engagement,7.3 Engaging with specific audience,7.3.4  Utilising Language-Specific Campaigns,"On our platform, the brands - Allô Afrique and Derniere Minute - posted in French.",
7. Targeted engagement,7.4 Co-opting real people / organizations,7.4.1 Hiring freelance content creators ,"This network leveraged a Cameroon-based freelancer. For the majority of time this campaign ran, a Cameroon-based individual operated the Facebook and Instagram accounts associated with these brands.",
